symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 14:30:00+00:00,262.46,262.47,260.2,260.82,1146302.0,26281.0,261.998943
AAPL,2026-03-02 14:31:00+00:00,260.825,263.12,260.69,262.9377,219496.0,4614.0,262.260005
AAPL,2026-03-02 14:32:00+00:00,262.935,262.99,261.8,262.415,155344.0,2931.0,262.302438
AAPL,2026-03-02 14:33:00+00:00,262.41,262.901,262.12,262.165,129318.0,2514.0,262.460888
AAPL,2026-03-02 14:34:00+00:00,262.14,262.65,261.95,262.155,126103.0,2773.0,262.255935
AAPL,2026-03-02 14:35:00+00:00,262.16,262.3401,261.46,261.68,166993.0,3552.0,261.845641
AAPL,2026-03-02 14:36:00+00:00,261.65,262.26,261.62,262.19,159543.0,2857.0,261.973761
AAPL,2026-03-02 14:37:00+00:00,262.19,262.79,261.98,262.35,131654.0,2410.0,262.401708
AAPL,2026-03-02 14:38:00+00:00,262.3675,262.755,262.06,262.205,145478.0,2902.0,262.367072
AAPL,2026-03-02 14:39:00+00:00,262.26,262.38,261.75,261.97,111661.0,2620.0,262.021098
AAPL,2026-03-02 14:40:00+00:00,261.9654,262.47,261.92,262.2,130453.0,2684.0,262.208198
AAPL,2026-03-02 14:41:00+00:00,262.205,262.49,261.88,262.285,106835.0,2468.0,262.263407
AAPL,2026-03-02 14:42:00+00:00,262.17,263.2,262.11,263.03,132012.0,2368.0,262.811546
AAPL,2026-03-02 14:43:00+00:00,263.1,263.32,262.85,262.94,141291.0,3237.0,263.081025
AAPL,2026-03-02 14:44:00+00:00,262.92,262.995,262.46,262.815,98613.0,2794.0,262.688594
AAPL,2026-03-02 14:45:00+00:00,262.87,263.39,262.62,263.2,121905.0,3188.0,263.170148
AAPL,2026-03-02 14:46:00+00:00,263.1861,263.35,263.06,263.1501,93638.0,2701.0,263.207871
AAPL,2026-03-02 14:47:00+00:00,263.22,263.27,262.61,262.825,106012.0,2743.0,262.89923
AAPL,2026-03-02 14:48:00+00:00,262.79,263.2139,262.72,262.8095,106423.0,2842.0,262.976188
AAPL,2026-03-02 14:49:00+00:00,262.78,263.195,262.7148,263.075,126792.0,2962.0,262.976272
AAPL,2026-03-02 14:50:00+00:00,263.07,263.07,262.59,262.68,108128.0,2975.0,262.820298
